sort_order,question_id,time_bucket,onboarding_step,question_text,answer_type,options_internal,option_labels,exclusive_options,nullable
1,Q-REL-01,H24,1,亡くなった方は、あなたにとってどのような関係ですか？,single_select,SPOUSE;PARENT;CHILD;SIBLING;OTHER_RELATIVE;NON_RELATIVE;UNKNOWN,配偶者（夫・妻）;自分の親;自分の子;兄弟姉妹;その他の親族;親族以外;わからない,,TRUE
2,Q-DOD-01,H24,1,亡くなった日はいつですか？,date,DATE;UNKNOWN,日付入力;わからない,,TRUE
3,Q-DIG-01,H24,1,故人名義の携帯電話やネット契約、サブスクはありますか？,multi_select,MOBILE;NET;SUBSCRIPTIONS;ACCOUNTS;NONE;UNKNOWN,携帯電話;ネット回線;サブスク（動画・音楽等）;SNS・メールなどのアカウント;どれもない;わからない,NONE;UNKNOWN,TRUE
4,Q-FUN-STATUS-01,H24,1,葬儀の状況を教えてください,single_select,NOT_DECIDED;ARRANGING;SCHEDULED;COMPLETED;DIRECT_CREMATION;NO_FUNERAL;UNKNOWN,まだ決めていない;準備中;日程が決まった;すでに終わった;火葬のみ行う（直葬）;葬儀は行わない;わからない,,TRUE
5,Q-ADMIN-DN-01,H24,1,死亡届はもう出しましたか？,single_select,YES;NO;IN_PROGRESS;UNKNOWN,はい;いいえ;手続き中;わからない,,TRUE
6,Q-EMP-01,D7,2,あなたは現在、会社や団体にお勤めですか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
7,Q-DECEASED-EMP-01,D7,2,故人は亡くなった時点で働いていましたか？,single_select,YES;NO;UNKNOWN,はい（パート・アルバイト含む）;いいえ;わからない,,TRUE
8,Q-HOUSEHOLD-01,D7,2,故人は世帯主でしたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
9,Q-HI-01,D7,2,故人の健康保険はどれですか？,single_select,NHI;EHI;LATTER;UNKNOWN,国民健康保険;会社の健康保険（社会保険）;後期高齢者医療（75歳以上）;わからない,,TRUE
10,Q-DEPENDENT-01,D7,2,故人の健康保険の扶養に入っていた方はいますか？,single_select,YES;NO;UNKNOWN,いる;いない;わからない,,TRUE
11,Q-PEN-01,D7,2,故人は年金を受け取っていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
12,Q-PEN-EMP-01,D7,2,故人は会社員や公務員として働いていたことがありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
12.5,Q-DC-01,D7,2,故人はiDeCo（個人型確定拠出年金）や企業型の確定拠出年金に加入していましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない（勤務先に確認できます）,,TRUE
13,Q-SPOUSE-01,D7,2,故人に配偶者（夫または妻）はいますか？,single_select,YES;NO,いる;いない,,TRUE
14,Q-CHILD-U18-01,D7,2,高校卒業までのお子さん（18歳の年度末まで）はいますか？,single_select,YES;NO,いる;いない,,TRUE
15,Q-CARE-01,D14,3,故人は介護保険のサービスを使っていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
16,Q-FIN-01,D14,3,故人名義の銀行口座・クレジットカード・証券口座はありますか？,multi_select,BANK;CARD;SECURITIES;NONE;UNKNOWN,銀行口座;クレジットカード;証券口座;どれもない;わからない,NONE;UNKNOWN,TRUE
17,Q-INS-01,D14,3,故人が加入していた生命保険・医療保険・共済はありますか？,multi_select,LIFE;MEDICAL;COOP;NONE;UNKNOWN,生命保険;医療保険・がん保険;共済（JA・県民共済等）;どれもない;わからない,NONE;UNKNOWN,TRUE
18,Q-INS-DAMAGE-01,D14,3,故人名義の自動車保険や火災保険はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
19,Q-UTIL-01,D14,3,故人名義の電気・ガス・水道の契約はありますか？,multi_select,ELECTRIC;GAS;WATER;NONE;UNKNOWN,電気;ガス;水道;どれもない;わからない,NONE;UNKNOWN,TRUE
20,Q-RENT-01,D14,3,故人名義の賃貸住宅（町営住宅含む）はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
21,Q-WILL-01,D14,3,遺言書は見つかっていますか？,single_select,YES;NO;UNKNOWN,見つかった;見つかっていない;わからない,,TRUE
22,Q-AGRI-01,M3,4,故人名義の農地（田・畑）はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
23,Q-LOAN-01,M3,4,故人名義の住宅ローンや借入金はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
24,Q-TAX-01,M4,4,故人には収入がありましたか？,multi_select,SALARY;PENSION;BUSINESS;REALESTATE;NONE;UNKNOWN,給与;年金;事業（自営業・農業等）;不動産収入;なかった;わからない,NONE;UNKNOWN,TRUE
25,Q-RE-01,M10,4,故人名義の土地や建物はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
26,Q-CAR-01,M10,4,故人名義の自動車はありますか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
27,Q-ROSAI,D7,2,故人の死因は業務中・通勤途中の事故や病気でしたか？,single_select,YES;NO;UNKNOWN,はい（業務中・通勤途中）;いいえ;わからない,,TRUE
28,Q-JOBLESS,D7,2,故人は亡くなる前、ハローワークから失業給付（雇用保険）を受け取っていましたか？,single_select,YES;NO;UNKNOWN,はい;いいえ;わからない,,TRUE
