override_id,target_type,target_id,field_name,override_type,override_value
CH-FUN-001,ui_config,global,subtitle,REPLACE,遺族のためのGPS
CH-FUN-002,ui_config,global,header_logo_text,HIDE,
CH-FUN-003,question,Q-FUN-STATUS-01,prefill_answer,PREFILL,ARRANGING
CH-FUN-004,question,Q-AGRI-01,prefill_answer,CLEAR,
CH-FUN-020,task,RN-D7-01,address,HIDE,
CH-FUN-021,task,RN-D7-01,phone,HIDE,
CH-FUN-024,task,RN-D7-06,action_summary,REPLACE,お住まいの市区町村役場に「死亡届」を提出し、「火葬許可証」を受け取る。届出は葬儀社が代行してくれる場合も多い。
CH-FUN-025,task,RN-D7-06,destination,REPLACE,お住まいの市区町村役場
CH-FUN-026,task,RN-D7-06,steps_short,REPLACE,1. 死亡診断書の原本と届出人の印鑑を用意 2. お住まいの市区町村役場で伝える 3. 必要事項を記入して提出 4. 火葬許可証を受け取りクリアファイルで保管
CH-FUN-027,task,RN-D7-06,office_hours,REPLACE,平日 8:30-17:15（一般的な開庁時間）
CH-FUN-028,task,RN-D7-06,address,HIDE,
CH-FUN-029,task,RN-D7-06,phone,HIDE,
CH-FUN-150,task,RN-D7-16,address,REPLACE,最寄りのキャリアショップまたは電話/オンライン手続きを推奨
CH-FUN-151,task,RN-D7-16,steps_detail,REPLACE,1. よく使われるものは誕生日（6桁）、電話番号の下4桁、結婚記念日です。【重要】10回間違えるとデータが消える機種があります。3回試してダメなら止めてください。\n2. iPhoneの場合はAppleサポート（0120-277-535）にご相談ください。Digital Legacyの案内を受けられます。\n3. Androidの場合はGoogleの「故人のアカウントに関するリクエスト」ページから申請できます。審査には数週間かかります。\n4. 費用目安は3〜10万円です。最寄りのキャリアショップまたは電話/オンラインで対応できます。
CH-FUN-152,task,RN-D7-17,address,HIDE,
CH-FUN-153,task,RN-D7-17,phone,HIDE,
CH-FUN-154,task,RN-D7-17,steps_detail,REPLACE,1. 例：口座残高600万円・相続人が配偶者と子1人の場合、配偶者は600万×1/3×1/2＝100万円まで引き出せます。\n2. 葬儀費用・医療費の精算・当面の生活費を概算してみてください。\n3.【重要】実際の引き出しは銀行届出（口座凍結）後に行います。凍結前に無理に引き出す必要はありません。口座がある銀行すべてでご利用いただけます。家庭裁判所の審判による払戻し（上限なし）もあります。
CH-FUN-155,task,RN-D7-17,office_hours,REPLACE,平日 9:00-15:00（一般的な窓口時間）
CH-FUN-050,task,RN-D14-01,action_summary,REPLACE,世帯主変更届を提出する。故人が世帯主で、残りの世帯員が2人以上の場合に必要。
CH-FUN-051,task,RN-D14-01,destination,REPLACE,お住まいの市区町村役場
CH-FUN-052,task,RN-D14-01,office_hours,REPLACE,平日 8:30-17:15（一般的な開庁時間）
CH-FUN-053,task,RN-D14-01,address,HIDE,
CH-FUN-054,task,RN-D14-01,phone,HIDE,
CH-FUN-055,task,RN-D14-02,destination,REPLACE,国保・後期高齢者：お住まいの市区町村役場／社保：故人の勤務先
CH-FUN-056,task,RN-D14-02,office_hours,REPLACE,平日 8:30-17:15（一般的な開庁時間）
CH-FUN-057,task,RN-D14-02,address,HIDE,
CH-FUN-058,task,RN-D14-02,phone,HIDE,
