task_id,title,domain,time_bucket,display_policy,priority,depends_on,depends_logic,onboarding_step,legal_due_days_from_dod,legal_due_note,recommended_start_days_from_dod,due_type,urgency_tier
RN-H24-02,死亡診断書を5部以上コピーする,ADMIN,H24,ALWAYS,85,,NONE,1,,,0,RECOMMENDED,HIGH
RN-D7-01,葬儀社を決める,FUNERAL,D7,CONDITIONAL,85,,NONE,1,,,0,EVENT_BASED,HIGH
RN-D7-06,役場に死亡届を出す,ADMIN,D7,CONDITIONAL,100,,NONE,1,7,死亡届の法定期限は7日,0,LEGAL,CRITICAL
RN-D7-10,口座凍結の前に引落し予定を確認する,FINANCE,D7,ALWAYS,90,,NONE,1,,,0,RECOMMENDED,HIGH
RN-D7-14,故人の勤務先に届け出る,EMPLOYMENT,D7,CONDITIONAL,80,,NONE,2,,,0,RECOMMENDED,MEDIUM
RN-D7-16,故人のスマホ・PCのロック解除を試みる,DIGITAL,D7,ALWAYS,82,,NONE,1,,,1,RECOMMENDED,HIGH
RN-D7-17,口座凍結後に預金を引き出す方法を確認する,FINANCE,D7,CONDITIONAL,86,RN-D7-06,SINGLE,1,,,1,RECOMMENDED,HIGH
RN-D14-01,世帯主を変更する,ADMIN,D14,CONDITIONAL,85,RN-D7-06,SINGLE,2,14,世帯主変更届の一般的な期限は14日,3,LEGAL,HIGH
RN-D14-02,故人の健康保険証を返す,HEALTH,D14,REVIEW,90,RN-D7-06,SINGLE,2,14,国保・後期高齢者は14日目安。社保は勤務先経由,3,LEGAL,HIGH
RN-D14-03,葬祭費・埋葬料を申請する,HEALTH,D14,REVIEW,85,RN-D7-06,SINGLE,2,,制度ごとに請求期限あり（一般に2年）,3,CLAIM_WINDOW,HIGH
RN-D14-04,高額な医療費が戻るか確認する,HEALTH,D14,REVIEW,70,RN-D7-06,SINGLE,2,,制度ごとに請求期限あり（一般に2年）,3,CLAIM_WINDOW,MEDIUM
RN-D14-05,介護保険の届出と精算をする,HEALTH,D14,CONDITIONAL,70,,NONE,3,,自治体運用差あり。早め推奨,7,RECOMMENDED,MEDIUM
RN-D14-06,故人の年金を止める,PENSION,D14,CONDITIONAL,90,RN-D7-06,SINGLE,2,10,厚生年金は10日以内、国民年金は14日以内が目安,3,LEGAL,HIGH
RN-D14-07,故人が受け取れなかった最後の年金を請求する,PENSION,D14,CONDITIONAL,75,RN-D14-06,SINGLE,2,,未支給年金の請求期限は一般に5年,3,CLAIM_WINDOW,MEDIUM
RN-D14-08,遺族年金をもらえるか確認する,PENSION,D14,CONDITIONAL,85,RN-D7-06,SINGLE,2,,遺族年金の請求期限は一般に5年。早期確認推奨,3,CLAIM_WINDOW,HIGH
RN-D14-09,銀行に口座名義人の死亡を届け出る,FINANCE,D14,CONDITIONAL,88,RN-D7-06;RN-D7-10,AND,3,,,7,RECOMMENDED,HIGH
RN-D14-10,証券会社に届け出る,FINANCE,D14,CONDITIONAL,75,RN-D7-06,SINGLE,3,,,7,RECOMMENDED,MEDIUM
RN-D14-11,生命保険の保険金を請求する,INSURANCE,D14,CONDITIONAL,85,RN-D7-06,SINGLE,3,1095,保険法95条で請求権の時効は3年（かんぽ生命の旧簡易生命保険契約は5年）,7,CLAIM_WINDOW,HIGH
RN-D14-15,公共料金（電気・ガス・水道）の名義変更・解約をする,HOUSING,D14,CONDITIONAL,75,,NONE,3,,,7,RECOMMENDED,MEDIUM
RN-D14-16,故人名義の通信契約（携帯・ネット・サブスク）を解約する,DIGITAL,D14,CONDITIONAL,78,,NONE,1,,,3,RECOMMENDED,MEDIUM
RN-D14-17,クレジットカードを解約する,FINANCE,D14,CONDITIONAL,77,,NONE,3,,,7,RECOMMENDED,MEDIUM
RN-D14-18,賃貸住宅の名義変更・解約をする,HOUSING,D14,CONDITIONAL,65,,NONE,3,,,7,EVENT_BASED,MEDIUM
RN-D14-20,遺言書があるか探す,INHERITANCE,D14,ALWAYS,80,,NONE,3,,,7,RECOMMENDED,HIGH
RN-D14-23,健康保険を切り替える,HEALTH,D14,CONDITIONAL,88,RN-D14-02,SINGLE,2,14,資格喪失後すみやかに切替。無保険回避の観点で14日以内運用,3,LEGAL,CRITICAL
RN-D14-24,ひとり親向けの手当を確認する,GOVT_BENEFIT,D14,CONDITIONAL,80,RN-D7-06,SINGLE,2,,申請月の翌月分から支給されるため早期申請推奨,3,RECOMMENDED,HIGH
RN-D14-27,故人のiDeCo・企業型確定拠出年金の一時金を受け取る,PENSION,D14,CONDITIONAL,72,RN-D7-06,SINGLE,2,,請求期限は5年。ただし早期請求推奨,7,CLAIM_WINDOW,MEDIUM
RN-D14-28,故人が契約していた家族の保険を確認する,INSURANCE,D14,CONDITIONAL,83,RN-D7-10,SINGLE,3,,口座凍結による保険失効を防ぐため早め対応,7,RECOMMENDED,HIGH
RN-M3-01,相続するか放棄するかを決める,INHERITANCE,M3,ALWAYS,90,RN-D14-20,SINGLE,3,90,相続放棄の法定期限は3か月,21,LEGAL,CRITICAL
RN-M3-02,故人の借金・保証人を調べる,FINANCE,M3,ALWAYS,85,,NONE,3,,,14,RECOMMENDED,HIGH
RN-M3-03,故人の戸籍と相続人全員の戸籍・印鑑証明を集める,INHERITANCE,M3,ALWAYS,80,RN-D7-06,SINGLE,3,,,14,RECOMMENDED,HIGH
RN-M3-04,住宅ローンの届出と団信の確認をする,FINANCE,M3,CONDITIONAL,75,RN-M3-02,SINGLE,4,,,21,RECOMMENDED,HIGH
RN-M3-07,故人の財産と負債を一覧にまとめる,INHERITANCE,M3,ALWAYS,90,,NONE,3,,,14,RECOMMENDED,HIGH
RN-M3-11,遺産分割協議書を作成する,INHERITANCE,M3,ALWAYS,85,RN-M3-07;RN-M3-03,AND,3,,,30,RECOMMENDED,HIGH
RN-M4-01,故人の確定申告をする,TAX,M4,POSSIBLE,75,RN-M3-07,SINGLE,4,120,準確定申告の期限は4か月,60,LEGAL,HIGH
RN-M10-01,相続税がかかるか確認する,TAX,M10,POSSIBLE,60,RN-M3-07,SINGLE,4,300,相続税申告・納付の期限は10か月,90,LEGAL,HIGH
RN-M10-05,銀行口座を解約して預金を受け取る,FINANCE,M10,POSSIBLE,75,RN-M3-07;RN-M3-11,AND,3,,,90,EVENT_BASED,MEDIUM
RN-M10-07,自動車の名義変更または廃車をする,CAR,M10,POSSIBLE,60,,NONE,4,,,120,RECOMMENDED,MEDIUM
RN-Y3-01,土地・建物の名義を変える,INHERITANCE,Y3,POSSIBLE,65,RN-M3-11,SINGLE,4,1095,相続登記の申請義務は3年以内,180,LEGAL,HIGH
RN-D7-30,健康保険(社保)の資格喪失届を出す,HEALTH,D7,CONDITIONAL,92,,NONE,2,5,会社の健康保険(社保)は5日以内に勤務先経由で資格喪失届,0,LEGAL,CRITICAL
RN-D7-31,雇用保険受給資格者証を返還する,EMPLOYMENT,D7,CONDITIONAL,75,,NONE,2,30,失業給付受給中は1か月以内にハローワークへ返還,0,LEGAL,HIGH
RN-D14-40,寡婦年金を請求する,PENSION,D14,CONDITIONAL,72,RN-D7-06,SINGLE,2,,寡婦年金の請求期限は2年。早期確認推奨,30,CLAIM_WINDOW,HIGH
RN-D14-41,死亡一時金を請求する,PENSION,D14,CONDITIONAL,72,RN-D7-06,SINGLE,2,,死亡一時金の請求期限は2年,30,CLAIM_WINDOW,HIGH
RN-D14-42,死亡退職金・弔慰金を受け取る,EMPLOYMENT,D14,CONDITIONAL,85,RN-D7-14,SINGLE,2,,勤務先の規程により請求,30,CLAIM_WINDOW,HIGH
RN-D14-43,未支給給与・賞与を受け取る,EMPLOYMENT,D14,CONDITIONAL,80,RN-D7-14,SINGLE,2,,勤務先へ請求,30,RECOMMENDED,HIGH
RN-D14-45,労災 遺族補償給付・葬祭料を請求する,EMPLOYMENT,D14,CONDITIONAL,95,,NONE,2,,労災請求の時効は5年。早期請求推奨,14,CLAIM_WINDOW,CRITICAL
