task_id,action_summary,why_needed,destination,required_docs,steps_short,steps_detail,office_hours,address,phone,done_condition,faq
RN-H24-02,死亡診断書の原本をコピーし、5部以上を手元に残す。役場に届け出ると原本は回収されるため、必ず届出前にコピーすること。,保険金請求・銀行届出・年金手続きなど、あらゆる場面でコピーが必要です。原本は役場に回収されるため、出す前に必ずコピーしてください。,コンビニ・自宅プリンター等,死亡診断書（原本）,1. A3サイズのまま5部以上コピーする（10部あると安心）\n2. 文字・押印が鮮明か確認する\n3. スマホでも表裏を撮影しておく\n4. 原本とコピーを別々の場所に保管する,1. コンビニのマルチコピー機、自宅プリンター、葬儀社のコピー機が使えます。\n2. 医師の署名・押印が読み取れることを必ず確認してください。\n3. 正式にはコピーが必要ですが、内容確認のとき写真があると便利です。\n4.【重要】役場に死亡届を出すと原本は回収されます。必ず届出前にコピーと撮影を済ませてください。,コンビニなら24時間,,,コピーが5部以上あり、原本と分けて保管されている。,Q.何部あれば安心？→最低5部、10部あると余裕があります\nQ.スマホで撮影でもいい？→撮影もしておくと便利ですが、正式にはコピーが必要です\nQ.コンビニが近くにない→役場や葬儀社でコピーできる場合もあります
RN-D7-01,葬儀を依頼する葬儀社を選んで連絡する。搬送を依頼した葬儀社にそのまま頼む義務はない。互助会に加入している場合は加入先に連絡してください。,葬儀の段取りはすべて葬儀社との打ち合わせで決まります。\n【費用の目安】一般葬 80〜150万円／家族葬 40〜80万円／直葬(火葬式) 15〜30万円。複数社から見積もりを取れば50万円以上の差が出ることもあります。,葬儀社,なし,1. 互助会加入がある場合は加入先に連絡する\n2. 未加入の場合は2〜3社に概算見積もりを依頼する\n3. 見積もり内容を比較する\n4. 1社に決めて正式に依頼する,1. 会員証の有無、通帳の毎月2000〜5000円の引落しで確認できます。\n2. 電話で「家族が亡くなったので葬儀の相談をしたいのですが」と伝えてください。\n3. 基本プランに含まれるもの・追加費用が発生しやすい項目を比較してください。\n4. 搬送を依頼した葬儀社にそのまま頼む義務はありません。別の社に頼んでも失礼にはあたりません。,24時間対応（多くの葬儀社）,,,葬儀社が決まり、正式に依頼済み。,Q.互助会に入っていたかわからない→通帳で毎月の引落しを確認してみてください\nQ.搬送を頼んだ葬儀社に決めなきゃいけない？→別の社に依頼しても問題ありません\nQ.費用の目安は？→一般葬100〜200万、家族葬30〜80万が目安です
RN-D7-06,市区町村役場の住民課に「死亡届」を提出し、「火葬許可証」を受け取る。届出は葬儀社が代行してくれる場合も多い。,火葬を行うには「火葬許可証」が必要です。死亡届を出さないと火葬許可証がもらえません。,市区町村役場,死亡診断書（原本）、届出人の印鑑,1. 死亡診断書の原本と届出人の印鑑を用意する\n2. 市区町村役場の住民課で「死亡届の提出をしたい」と伝える\n3. 窓口で必要事項を記入して提出する\n4. 「火葬許可証」を受け取りクリアファイルで保管する,1. 印鑑は認印で大丈夫です（シャチハタ不可）。コピーがまだの場合は先にRN-H24-02を完了してください。\n2. 平日8:30-17:15。時間外・休日は当直窓口で届出のみ受付可能です。\n3. 死亡届は死亡診断書と一体の用紙（左半分）です。記入箇所は職員が教えてくれます。\n4. この許可証がないと火葬ができません。葬儀社が代行してくれることも多いです。「代行は可能ですか」と聞いてみてください。,平日 8:30-17:15（時間外・休日は当直窓口で届出のみ可）,,,死亡届が受理され、火葬許可証が手元にある。,Q.窓口で何と言えばいい？→「死亡届の提出をしたいのですが」と伝えてください\nQ.届出は誰が出せる？→同居親族、その他の親族、同居者など。葬儀社が代行することも多いです\nQ.期限を過ぎてしまったら？→届出は受理されますが、過料の対象になることがあります
RN-D7-10,故人の銀行口座から自動で引き落とされている支払い（公共料金・ローン・保険料等）を確認し、リストにする。,銀行に届け出ると口座が凍結され、自動引落しが止まります。凍結前にどこへいくら払っているか把握しないと、料金滞納やサービス停止につながります。\n【主な引落し先】電気・ガス・水道・携帯・ネット・NHK・新聞・サブスク・保険料・住宅ローン・家賃・固定資産税・住民税・国民健康保険料・介護保険料・年会費・寄付。通帳の過去6か月の引落しを必ずチェックしてください。,,故人の通帳・カード、銀行からの郵便物,1. 故人の通帳の直近6か月分を確認する\n2. 定期引落しをリスト化する（引落し先・金額・頻度・連絡先）\n3. 「名義変更で継続」「解約」「別途手続き要」に分類する\n4. 銀行届出（口座凍結）のタイミングを決める,1. 未記帳ならATMで記帳してください。銀行に死亡届を出す前に行ってください。ネット銀行はスマホ/PCからログインして取引履歴を確認してください。\n2. —\n3. 口座が凍結されると引落しが止まります。名義変更が先に必要なもの（電気・水道等）を把握しておいてください。\n4. —,,,,自動引落しリストが作成され、対応方針が整理されている。,Q.通帳が未記帳→ATMで記帳するか、銀行の窓口で明細を取得してください（凍結前に）\nQ.ネット銀行で通帳がない→スマホかPCからログインして取引履歴を確認してください\nQ.口座はいつ凍結される？→銀行に届け出た時点で凍結されます。届け出るまでは動きます
RN-D7-14,故人の勤務先に死亡を届け出て、退職手続き・死亡退職金・貸与品の返却などを進める。,最終給与の精算、退職金の支給、社会保険の喪失手続き、貸与品の返却が必要です。,故人の勤務先の総務部・人事部,死亡診断書コピー、届出者の本人確認書類,1. 勤務先に電話し「○○の遺族です」と総務を呼んでもらう\n2. 最終給与・死亡退職金について確認する\n3. 社会保険の資格喪失手続き・保険証返却をする\n4. 源泉徴収票の発行を依頼する\n5. 貸与品の返却・私物の引き取り日程を調整する,1. 「○○の遺族ですが、総務のご担当者をお願いします」で大丈夫です。\n2. 退職金の金額はメモしておいてください（相続税計算で使います）。\n3. 保険証は勤務先に返却してください。手続きは勤務先が行います。\n4. 準確定申告（RN-M4-01）で必要になります。発行時期も確認してください。\n5. —,勤務先の営業時間,,,勤務先への届出完了、退職手続き・退職金・貸与品返却の段取り確認済み。,Q.電話しづらい→「○○の遺族ですが、総務のご担当者をお願いします」と伝えれば大丈夫です\nQ.退職金はいくら？→会社の規程によります。総務に確認してください\nQ.保険証は返す？→はい。勤務先経由で返却します
RN-D7-16,故人のスマホ・PC・タブレットのパスコード（ロック）解除を試みる。解除できない場合はキャリアや専門業者に相談する。後続のサブスク解約・SNS整理に必要。,パスコードが分からないままだと、サブスクの解約、SNSの追悼アカウント設定、二段階認証が必要なサービスへのログインがすべてできなくなります。時間が経つほど解除が難しくなります。,キャリアショップ／Appleサポート／専門業者,故人の端末、届出人の本人確認書類、戸籍謄本（キャリアによる）,1. 心当たりのあるパスコードを試す（最大3回まで）\n2. iPhone→Appleサポートに相談する\n3. Android→Googleの「故人のアカウントに関するリクエスト」から申請する\n4. 解除できない場合→専門業者に相談する,1. よく使われるもの：誕生日（6桁）、電話番号の下4桁、結婚記念日、「000000」。\n【重要】10回間違えるとデータが消える機種があります。3回試してダメなら止めてください。\n2. Appleサポート（0120-277-535）に「故人のiPhoneのロック解除について相談したい」と伝えてください。Digital Legacyの案内を受けられます。\n3. Googleの「故人のアカウントに関するリクエスト」ページから申請できます。審査に数週間かかります。\n4. 費用目安：3〜10万円。「デジタル遺品 ロック解除」で検索してください。近隣にキャリアショップがない場合は電話/オンライン対応をおすすめします。,Appleサポート：9:00-21:00／キャリア：10:00-19:00が一般的,,Appleサポート：0120-277-535,パスコードが解除できた、または解除の方針（業者依頼等）が決まっている。,Q.パスコードを何回も試していい？→10回間違えるとデータが消える機種があります。3回までにしてください\nQ.指紋・顔認証は使えない？→亡くなった後は生体認証は使えません。PIN番号が必要です\nQ.費用をかけたくない→キャリアやApple/Googleの公式サポートにまず相談してください。無料で対応できる場合があります
RN-D7-17,銀行に届け出ると口座が凍結されるが、遺産分割の前でも「相続預金の払戻し制度」で各口座から一定額を引き出せる。制度を事前に把握しておく。,口座が凍結されると、当面の生活費・葬儀費用・医療費の支払いに困ることがあります。2019年の民法改正で創設された制度で、遺産分割前でも引き出せます。知らないと使えない制度です。,各銀行の窓口,届出人の本人確認書類、故人の戸籍謄本、届出人の戸籍謄本（相続人であることの証明）,1. 制度の内容を理解する（各口座残高×1/3×法定相続分、上限150万円）\n2. 引き出しが必要になりそうか家族で話し合う\n3. 必要な場合は銀行に「相続預金の仮払いを利用したい」と伝える,1. 例：口座残高600万円・相続人が配偶者と子1人の場合、配偶者は600万×1/3×1/2＝100万円まで引き出せます。\n2. 葬儀費用・医療費の精算・当面の生活費を概算してみてください。\n3.【重要】実際の引き出しは銀行届出（口座凍結）後に行います。凍結前に無理に引き出す必要はありません。\n銀行届出の前にこの制度を知っておくことが大事です。\n家庭裁判所の審判による払戻しもあります（上限なし、ただし手続きに時間がかかる）。,平日 9:00-15:00（窓口）,,,制度の内容を理解し、利用の要否について方針が決まっている。,Q.遺産分割前に引き出して大丈夫？→法律で認められた制度です。引き出した分は相続分から差し引かれます\nQ.上限150万円では足りない→家庭裁判所の審判による払戻し（上限なし）もあります。ただし手続きに時間がかかります\nQ.口座が複数ある場合→口座ごとに上限が計算されます
RN-D14-01,市区町村役場で世帯主変更届を提出する。故人が世帯主で、残りの世帯員が2人以上の場合に必要。,届出が遅れると住民票や保険証の記載に影響します。\n【届出不要のケース】残された世帯員が1人だけの場合、または15歳未満のみの場合は届出不要 (自治体運用差あり、要事前確認)。,市区町村役場 住民課,本人確認書類、印鑑（国保保険証があれば持参）,1. 届出が必要か確認する（故人が世帯主＆残り2人以上→必要）\n2. 新しい世帯主を決める\n3. 役場の窓口で「世帯主変更届を出したい」と伝える\n4. 国保加入者は保険証の世帯主変更も同時に行う\n5. 来庁時にまとめて対応できるものを事前に確認する,1. 残り1人なら届出不要（自動的に世帯主になります）。\n2. 一般的には配偶者がなることが多いです。\n3. 持ち物：本人確認書類・印鑑。\n4. 保険証も持参してください。\n5. 来庁時にまとめて対応できるもの：\n・保険証返却\n・葬祭費申請\n・介護保険届出\n・住民票の除票取得\n・マイナンバーカード返却（12桁の番号をメモしてから持参）\n事前に役場に電話して持ち物を確認すると1回の来庁で済みます。所要時間の目安は2〜3時間です。,平日 8:30-17:15,,,世帯主変更届が受理され、住民票に反映されている。,Q.残り1人なら届出は不要？→はい。自動的に世帯主になるため届出不要です\nQ.配偶者と15歳未満の子だけ→原則不要です\nQ.期限を過ぎたら？→5万円以下の過料の可能性がありますが、届出は受理されます\nQ.おくやみ窓口はある？→専用窓口がなくても、住民課に事前連絡すれば各課を案内してもらえます\nQ.代理人でもいい？→委任状があれば多くの手続きは代理可能です\nQ.マイナンバーカードを返す必要は？→悪用防止のため返却をおすすめします。来庁時に持参してください。見つからない場合はその旨お伝えいただければ大丈夫です
RN-D14-02,故人の健康保険証を返却し、資格喪失の届出をする。国保・後期高齢者は役場へ、社保は故人の勤務先へ。,故人の保険証で医療費が請求されると、あとから返還を求められます。,国保・後期高齢者：市区町村役場／社保：故人の勤務先,故人の保険証、死亡確認書類、届出人の本人確認書類、印鑑,1. 保険の種類を確認する（国保/後期高齢者→役場、社保→勤務先）\n2. 役場 or 勤務先に保険証を返却・届出する\n3. 高額療養費の未申請分がないか確認する\n4. 扶養家族の保険切り替えが必要か確認する,1. 保険証の表面を見れば種類がわかります。\n2. 役場の場合「健康保険証の返却と資格喪失の届出をしたい」と伝えてください。持ち物：故人の保険証・届出人の本人確認書類と印鑑。紛失の場合はその旨伝えれば大丈夫です。社保の場合は勤務先が手続きします。\n3. →RN-D14-04へ。\n4. →RN-D14-23へ。,平日 8:30-17:15（役場）,,,資格喪失届が提出され、保険証が返却済み。,Q.保険証が見つからない→紛失の旨を届出書に記載すれば大丈夫です\nQ.社保は自分で手続きする？→勤務先が手続きします。保険証を返却してください\nQ.国保と後期高齢者の違いは？→75歳以上は後期高齢者医療です
RN-D14-03,故人の健康保険から「葬祭費」（国保）または「埋葬料」（社保）を申請する。国保は自治体により1〜7万円、社保は一律5万円。,葬儀を行った方に支給される給付金です。申請しないともらえません。,国保・後期高齢者：市区町村役場／社保：協会けんぽ支部等,故人の保険証、葬儀の領収書または会葬礼状、申請者の振込先口座、印鑑,1. 国保/後期高齢者→役場で「葬祭費の申請をしたい」と伝える\n2. 社保→協会けんぽに「埋葬料支給申請書」を郵送する\n3. 振込先口座を記入して提出する（1〜2か月後に振込）,1. 持ち物：故人の保険証・葬儀の領収書（または会葬礼状）・申請者の振込先口座・印鑑。支給額は自治体により3〜7万円程度。\n2. 社保は一律5万円。協会けんぽのWebサイトから申請書をダウンロードできます。\n3. 領収書がまだでも会葬礼状で申請可。時効2年。,平日 8:30-17:15（役場）,,,葬祭費（埋葬料）の申請書を提出済み。,Q.いくらもらえる？→国保は自治体により異なります（3〜7万円）。社保は一律5万円です\nQ.領収書がまだない→会葬礼状でも申請できます。後日の申請も可能です（時効2年）\nQ.直葬でももらえる？→はい。火葬費用を負担した方が申請できます
